M,N,K,ALPHA,BETA
640,400,5760,1,1
24,25600,216,1,1
256,4096,1152,1,1
48,12544,432,1,1
320,1600,2880,1,1
128,14400,288,1,1
768,784,3456,1,1
960,64,5760,1,1
64,9216,576,1,1
64,65025,27,1,1
1536,256,3072,1,1
704,2304,1408,1,1
192,9216,432,1,1
1024,196,4608,1,1
512,3136,1152,1,1
56,69696,27,1,1
64,16384,288,1,1
56,69169,27,1,1
128,36864,27,1,1
128,36481,27,1,1
48,3136,1728,1,1
1536,196,3072,1,1
1024,3136,576,1,1
96,14400,288,1,1
384,2304,1728,1,1
128,7744,576,1,1
32,30976,144,1,1
16,14400,360,1,1
24,22500,216,1,1
128,4096,1152,1,1
664,196,5976,1,1
704,784,3168,1,1
32,16384,288,1,1
160,3136,1440,1,1
512,9216,48,1,1
1536,100,3072,1,1
1408,49,3456,1,1
768,576,3456,1,1
1024,64,4608,1,1
1024,49,4608,1,1
64,7744,576,1,1
24,20736,216,1,1
1024,784,2304,1,1
1536,49,3072,1,1
640,196,5760,1,1
48,65536,27,1,1
96,9216,432,1,1
2048,784,1152,1,1
96,12544,288,1,1
384,3600,864,1,1
384,3136,1024,1,1
160,6400,576,1,1
224,6400,504,1,1
192,5041,720,1,1
256,3136,1152,1,1
960,49,4608,1,1
128,6400,576,1,1
64,50176,27,1,1
96,36864,27,1,1
608,196,5472,1,1
96,14400,216,1,1
32,25600,144,1,1
160,784,4608,1,1
128,6241,576,1,1
64,12544,288,1,1
960,49,4320,1,1
384,784,3456,1,1
48,16384,216,1,1
664,49,5976,1,1
256,3136,1024,1,1
128,3136,1152,1,1
64,6400,576,1,1
640,64,5760,1,1
192,6400,432,1,1
32,16384,216,1,1
32,12544,288,1,1
1408,1600,588,1,1
320,3600,720,1,1
320,5625,360,1,1
64,43264,27,1,1
48,51984,27,1,1
64,3136,1152,1,1
128,9216,288,1,1
32,65536,27,1,1
48,51529,27,1,1
1536,1369,588,1,1
768,49,4608,1,1
128,9025,288,1,1
48,50176,27,1,1
256,9216,147,1,1
32,3136,1152,1,1
1024,144,3072,1,1
256,1225,2304,1,1
352,9216,48,1,1
16,3136,1152,1,1
512,256,4608,1,1
96,5329,576,1,1
608,49,5472,1,1
332,784,2988,1,1
192,5625,432,1,1
256,2304,1152,1,1
768,1024,1536,1,1
120,4096,720,1,1
768,196,3456,1,1
192,3136,864,1,1
128,12544,147,1,1
64,16384,147,1,1
96,5041,576,1,1
320,784,2880,1,1
32,57600,27,1,1
512,784,2304,1,1
512,196,4608,1,1
64,36864,27,1,1
64,5184,576,1,1
96,27225,27,1,1
1024,49,3072,1,1
80,4096,720,1,1
64,36481,27,1,1
192,5184,432,1,1
16,10816,288,1,1
320,1600,1440,1,1
64,9216,288,1,1
640,400,2880,1,1
304,784,2736,1,1
256,1024,2304,1,1
256,2304,1024,1,1
384,2304,864,1,1
192,9216,147,1,1
256,3600,576,1,1
256,5625,288,1,1
1280,49,2304,1,1
32,12544,216,1,1
768,196,3072,1,1
128,2304,1152,1,1
512,144,4608,1,1
96,3136,864,1,1
80,16384,108,1,1
224,2304,1008,1,1
96,12544,147,1,1
256,5476,288,1,1
756,49,3744,1,1
24,12544,216,1,1
896,64,3072,1,1
192,2304,1024,1,1
166,3136,747,1,1
768,784,1536,1,1
512,121,4608,1,1
128,2209,1152,1,1
32,9216,288,1,1
128,4096,576,1,1
24,57600,27,1,1
768,144,3072,1,1
96,11881,147,1,1
96,9216,216,1,1
32,16384,144,1,1
512,100,4608,1,1
128,3969,576,1,1
768,49,3456,1,1
96,9025,216,1,1
64,16384,108,1,1
1024,1369,588,1,1
16,9216,288,1,1
512,576,2304,1,1
224,1225,1728,1,1
512,81,4608,1,1
48,36864,27,1,1
256,3136,576,1,1
192,12544,27,1,1
64,7744,288,1,1
152,3136,684,1,1
192,196,6912,1,1
48,36100,27,1,1
192,12321,27,1,1
1024,196,2048,1,1
128,6400,288,1,1
384,784,2048,1,1
512,64,4608,1,1
192,1225,1728,1,1
48,35721,27,1,1
83,3136,747,1,1
64,4096,576,1,1
512,3136,288,1,1
64,12544,147,1,1
320,2304,720,1,1
1024,1024,768,1,1
512,49,4608,1,1
768,64,3072,1,1
192,2304,864,1,1
256,784,2304,1,1
1280,784,768,1,1
80,3136,720,1,1
502,49,4608,1,1
48,16384,108,1,1
500,49,4608,1,1
768,49,3072,1,1
512,36,4608,1,1
640,196,2880,1,1
224,49,9216,1,1
192,3136,576,1,1
64,11881,147,1,1
490,49,4608,1,1
512,25,4608,1,1
16,57600,27,1,1
48,9216,216,1,1
384,289,3456,1,1
76,3136,684,1,1
112,9216,147,1,1
160,3136,576,1,1
1280,49,1728,1,1
64,25600,27,1,1
192,3600,432,1,1
448,576,2016,1,1
384,784,1728,1,1
384,256,3456,1,1
768,1369,588,1,1
16,14400,144,1,1
160,784,2304,1,1
192,1024,1728,1,1
32,16384,108,1,1
128,3136,576,1,1
64,6400,288,1,1
96,9216,147,1,1
1024,1024,588,1,1
32,12544,147,1,1
1024,49,2048,1,1
480,256,2880,1,1
192,9216,48,1,1
32,12544,144,1,1
128,3025,576,1,1
128,784,2304,1,1
128,1600,1152,1,1
576,49,3456,1,1
32,36864,27,1,1
768,1024,768,1,1
96,3136,576,1,1
16,50176,27,1,1
32,36481,27,1,1
16,49729,27,1,1
384,1600,768,1,1
32,36100,27,1,1
56,10404,147,1,1
1280,729,588,1,1
32,35721,27,1,1
96,784,2304,1,1
768,400,1536,1,1
384,196,3456,1,1
88,784,2304,1,1
240,1024,1440,1,1
256,2304,576,1,1
256,576,2304,1,1
32,6400,288,1,1
80,784,2304,1,1
384,289,2880,1,1
16,12544,147,1,1
64,3136,576,1,1
48,10404,147,1,1
96,1024,1728,1,1
256,3600,288,1,1
96,6400,216,1,1
64,784,2304,1,1
60,784,2304,1,1
48,4096,432,1,1
256,2209,576,1,1
1408,576,588,1,1
1536,1024,147,1,1
128,12544,27,1,1
1152,729,588,1,1
256,529,2304,1,1
35,3136,576,1,1
160,3600,360,1,1
32,7744,216,1,1
32,3136,576,1,1
48,25600,27,1,1
36,784,2304,1,1
128,12321,27,1,1
512,256,2304,1,1
256,2304,512,1,1
224,49,6912,1,1
512,784,1152,1,1
320,1600,720,1,1
24,36864,27,1,1
384,576,1728,1,1
160,1024,1440,1,1
24,36481,27,1,1
16,43264,27,1,1
384,289,2592,1,1
1024,784,576,1,1
16,42849,27,1,1
320,784,1440,1,1
768,1024,588,1,1
192,784,1728,1,1
384,64,4032,1,1
1280,576,588,1,1
192,196,4608,1,1
1024,576,768,1,1
128,1296,1152,1,1
768,784,768,1,1
27,3136,540,1,1
384,4096,48,1,1
512,3136,48,1,1
256,3136,288,1,1
512,49,3072,1,1
320,256,2880,1,1
128,4096,288,1,1
256,1024,1152,1,1
16,10816,144,1,1
512,196,2304,1,1
96,5476,216,1,1
512,784,1024,1,1
384,3136,147,1,1
96,3136,432,1,1
128,2304,576,1,1
76,16384,27,1,1
160,3136,360,1,1
384,144,3072,1,1
1792,256,588,1,1
384,289,2304,1,1
83,3136,432,1,1
224,1156,1008,1,1
332,196,2988,1,1
512,49,2880,1,1
96,5184,216,1,1
768,196,1536,1,1
128,2209,576,1,1
128,9216,48,1,1
32,9216,144,1,1
76,3136,432,1,1
64,1225,1200,1,1
352,3136,147,1,1
256,400,2304,1,1
192,729,1600,1,1
448,1444,504,1,1
192,1024,1152,1,1
16,36864,27,1,1
64,3136,432,1,1
384,64,3456,1,1
16,36481,27,1,1
20,3136,477,1,1
48,20736,27,1,1
384,1369,588,1,1
1664,256,588,1,1
166,784,1494,1,1
22,3136,468,1,1
96,12544,27,1,1
192,6400,48,1,1
289,49,4491,1,1
1024,576,588,1,1
48,3136,432,1,1
192,2304,432,1,1
384,49,3456,1,1
256,169,3456,1,1
64,2304,576,1,1
32,25600,27,1,1
192,3600,216,1,1
40,22500,27,1,1
1408,196,768,1,1
384,784,1024,1,1
64,16384,27,1,1
40,22201,27,1,1
160,784,1440,1,1
16,9216,144,1,1
48,784,1728,1,1
768,576,768,1,1
192,3481,216,1,1
192,2209,432,1,1
64,4096,288,1,1
128,1024,1152,1,1
128,49,8192,1,1
304,196,2736,1,1
256,324,2304,1,1
288,289,2304,1,1
512,576,1024,1,1
80,3136,360,1,1
192,144,4096,1,1
152,784,1368,1,1
256,784,1152,1,1
44,3136,396,1,1
18,3136,423,1,1
40,20736,27,1,1
192,1156,864,1,1
448,196,2016,1,1
56,16384,27,1,1
25,3136,405,1,1
304,196,2592,1,1
384,49,3072,1,1
256,1444,576,1,1
80,12544,27,1,1
128,3136,288,1,1
1408,256,588,1,1
16,30976,27,1,1
96,9216,48,1,1
32,22500,27,1,1
192,3136,216,1,1
32,4096,288,1,1
64,1024,1152,1,1
512,49,2304,1,1
144,784,1296,1,1
64,3025,363,1,1
288,196,2592,1,1
32,22201,27,1,1
24,25600,27,1,1
256,3136,147,1,1
768,49,1536,1,1
352,49,3168,1,1
512,36,2304,1,1
237,49,4428,1,1
224,1600,504,1,1
64,1936,576,1,1
192,3025,216,1,1
192,784,1152,1,1
352,3136,48,1,1
40,3136,360,1,1
256,784,1024,1,1
256,49,4096,1,1
96,1225,864,1,1
96,2304,432,1,1
128,2916,288,1,1
256,256,2304,1,1
1024,256,768,1,1
1280,256,588,1,1
48,16384,27,1,1
256,1296,576,1,1
32,20736,27,1,1
48,4096,243,1,1
384,784,768,1,1
224,784,1008,1,1
1024,225,768,1,1
144,784,1152,1,1
512,49,2048,1,1
256,289,2016,1,1
72,784,1296,1,1
128,2704,288,1,1
128,784,1152,1,1
192,784,1024,1,1
64,12544,27,1,1
1024,196,768,1,1
24,22201,27,1,1
512,576,768,1,1
320,64,2880,1,1
64,12321,27,1,1
1152,256,588,1,1
64,3136,288,1,1
320,576,1024,1,1
16,25600,27,1,1
40,16384,27,1,1
320,1444,360,1,1
256,196,2304,1,1
192,3136,147,1,1
16,25281,27,1,1
192,1600,432,1,1
128,729,1152,1,1
320,49,2880,1,1
384,196,1728,1,1
96,1024,864,1,1
896,225,768,1,1
64,1600,576,1,1
24,20736,27,1,1
384,64,2304,1,1
768,1024,147,1,1
239,196,2304,1,1
87,784,1125,1,1
